235,CYSF,YSF,Stony Rapids,,59.25027778,-105.84138889,805,,11,America/Regina,1
236,CYSJ,YSJ,Saint John,,45.31611111,-65.89027778,357,,-18,America/Moncton,1
237,CYSK,YSK,Sanikiluaq,,56.53777778,-79.24666667,104,,-17,America/Iqaluit,1
238,CYSM,YSM,Fort Smith,,60.02027778,-111.96194444,671,,16,America/Yellowknife,1
239,CYSR,YSR,Nanisivik,,72.98222222,-84.61361111,2106,,-39,America/Iqaluit,1
241,CYSU,YSU,Summerside,,46.44055556,-63.83361111,56,,-19,America/Halifax,1
242,CYSY,YSY,Sachs Harbour,,71.99388889,-125.2425,282,,27,America/Yellowknife,1
244,CYTE,YTE,Cape Dorset,,64.23,-76.52666667,164,,-27,America/Iqaluit,1
245,CYTH,YTH,Thompson,,55.80333333,-97.8625,732,127.65,3,America/Winnipeg,1
246,CYTL,YTL,Big Trout Lake,,53.81777778,-89.89694444,729,,-5,America/Winnipeg,1
247,CYTR,YTR,Trenton,,44.11888889,-77.52805556,283,135.45,-12,America/Toronto,1
248,CYTS,YTS,Timmins,,48.56972222,-81.37666667,967,124.95,-11,America/Toronto,1
249,CYTZ,YTZ,Toronto,City Centre,43.6275,-79.39611111,251,133.6,-11,America/Toronto,1
251,CYUB,YUB,Tuktoyaktuk,James Gruben,69.43333333,-133.02638889,15,,26,America/Yellowknife,1
258,CYUL,YUL,Montreal,Pierre Elliott Trudeau Intl,45.47055556,-73.74083333,118,133.7,-15,America/Montreal,1
262,CYUT,YUT,Repulse Bay,,66.52138889,-86.22472222,80,,-21,America/Rankin_Inlet,1
263,CYUX,YUX,Hall Beach,,68.77555556,-81.24444444,27,,-31,America/Iqaluit,1
264,CYUY,YUY,Rouyn-Noranda,,48.20611111,-78.83555556,988,,-13,America/Montreal,1
265,CYVC,YVC,La Ronge,Barber Field,55.15138889,-105.26194444,1242,,11,America/Regina,1
266,CYVG,YVG,Vermilion,,53.35583333,-110.82388889,2025,,14,America/Edmonton,1
267,CYVM,YVM,Qikiqtarjuaq,,67.54583333,-64.03138889,21,,-36,America/Pangnirtung,1
269,CYVO,YVO,Val-D'Or,,48.05333333,-77.78277778,1107,,-13,America/Montreal,1
270,CYVP,YVP,Kuujjuaq,,58.09611111,-68.42694444,129,,-25,America/Montreal,1
271,CYVQ,YVQ,Norman Wells,,65.28166667,-126.79833333,238,,24,America/Yellowknife,1
272,CYVR,YVR,Vancouver,,49.19388889,-123.18444444,14,124.6,17,America/Vancouver,1
273,CYVT,YVT,Buffalo Narrows,,55.84194444,-108.4175,1409,,13,America/Regina,1
274,CYVV,YVV,Wiarton,,44.74583333,-81.10722222,729,,-10,America/Toronto,1
275,CYWA,YWA,Petawawa,,45.95222222,-77.31916667,427,,-13,America/Toronto,1
276,CYWG,YWG,Winnipeg,James Armstrong Richardson Intl,49.91,-97.24,783,120.2,4,America/Winnipeg,1
277,CYWK,YWK,Wabush,,52.92194444,-66.86444444,1808,,-21,America/Goose_Bay,1
278,CYWL,YWL,Williams Lake,,52.18305556,-122.05416667,3085,,18,America/Vancouver,1
281,CYWY,YWY,Wrigley,,63.20944444,-123.43666667,489,,23,America/Yellowknife,1
282,CYXC,YXC,Cranbrook,Canadian Rockies Intl,49.61222222,-115.78194444,3084,,15,America/Edmonton,1
283,CYXD,YXD,Edmonton City Centre,Blatchford Field,53.5725,-113.52055556,2200,114.9,16,America/Edmonton,1
