wptname,region,airways,direction,chapter,page,alternates,aircraft,chart,ACL,updatedAt,createdAt,objectId
SNJ,IRAN,UL223,INBOUND,10.1,41-72,"OKBK, OEDF, OBBI, OTBD",Widebody,,,,,
MESVI,IRAN,UL223,INBOUND,10.1,42-72,OMAA,Widebody,,,,,
DASDO,IRAN,UL223,INBOUND,10.1,42-72,OMAA,Widebody,,,,,
ALTAX,IRAN,UL223,INBOUND,10.1,42-72,OMAA,Widebody,,,,,
MESVI,IRAN,UL223,INBOUND,10.1,43-72,"OKBK, OEDF, OBBI, OTBD",Widebody,,,,,
RADID,IRAN,UL223,INBOUND,10.1,43-72,"OKBK, OEDF, OBBI, OTBD",Widebody,,,,,
RADID,IRAN,"W3, W10",INBOUND,10.1,44-72,"OISS, OMSJ, OMDB, OMAA",Widebody,,,,,
SYZ,IRAN,"W3, W10",INBOUND,10.1,44-72,"OISS, OMSJ, OMDB, OMAA",Widebody,,,,,
TAGTA,IRAN,"W3, W10",INBOUND,10.1,44-72,"OISS, OMSJ, OMDB, OMAA",Widebody,,,,,
MOBON,IRAN,"W3, W10",INBOUND,10.1,44-72,"OISS, OMSJ, OMDB, OMAA",Widebody,,,,,
KER,IRAN,A419,INBOUND,10.1,45-72,"OIKK, OIKB, OMSJ, OMDB, OMAA",Widebody,,,,,
ALMEK,IRAN,A419,INBOUND,10.1,45-72,"OIKK, OIKB, OMSJ, OMDB, OMAA",Widebody,,,,,
NANTO,IRAN,A419,INBOUND,10.1,45-72,"OIKK, OIKB, OMSJ, OMDB, OMAA",Widebody,,,,,
TAVNO,IRAN,A419,INBOUND,10.1,45-72,"OIKK, OIKB, OMSJ, OMDB, OMAA",Widebody,,,,,
BND,IRAN,A419,INBOUND,10.1,45-72,"OIKK, OIKB, OMSJ, OMDB, OMAA",Widebody,,,,,
TBZ,IRAN,"UR661, UL125",INBOUND,10.1,46-72,OITT,Widebody,,,,,
ZAJ,IRAN,"UR661, UL125",INBOUND,10.1,46-72,OITT,Widebody,,,,,
ZAJ,IRAN,"R654, UL124",INBOUND,10.1,47-72,"OIIE, OIII",Widebody,,,,,
SESBI,IRAN,"R654, UL124",INBOUND,10.1,47-72,"OIIE, OIII",Widebody,,,,,
SAV,IRAN,"R654, UL124",INBOUND,10.1,47-72,"OIIE, OIII",Widebody,,,,,
PEKAM,IRAN,"R654, UL124",INBOUND,10.1,47-72,"OIIE, OIII",Widebody,,,,,
PEKAM,IRAN,UP574,INBOUND,10.1,48-72,"OIFM, OISS",Widebody,,,,,
EGPAT,IRAN,UP574,INBOUND,10.1,48-72,"OIFM, OISS",Widebody,,,,,
OBTUX,IRAN,UP574,INBOUND,10.1,48-72,"OIFM, OISS",Widebody,,,,,
SYZ,IRAN,UP574,INBOUND,10.1,48-72,"OIFM, OISS",Widebody,,,,,
MAGRI,IRAN,UR654,INBOUND,10.1,49-72,OITT,Widebody,,,,,
ZAJ,IRAN,UR654,INBOUND,10.1,49-72,OITT,Widebody,,,,,
ZAJ,IRAN,"G482, R661, UL125",INBOUND,10.1,50-72,OITT,Widebody,,,,,
TBZ,IRAN,"G482, R661, UL125",INBOUND,10.1,50-72,OITT,Widebody,,,,,
MAGRI,IRAN,"G482, R661, UL125",INBOUND,10.1,50-72,OITT,Widebody,,,,,
LABKA,IRAN,"UP574, R654, UL124",INBOUND,10.1,51-72,"OIIE, OIII",Widebody,,,,,
SESBI,IRAN,"UP574, R654, UL124",INBOUND,10.1,51-72,"OIIE, OIII",Widebody,,,,,
SAV,IRAN,"UP574, R654, UL124",INBOUND,10.1,51-72,"OIIE, OIII",Widebody,,,,,
PEKAM,IRAN,"UP574, R654, UL124",INBOUND,10.1,51-72,"OIIE, OIII",Widebody,,,,,
NSR,IRAN,N39,INBOUND,10.1,52-72,"OIIE, OIII",Widebody,,,,,
RADAL,IRAN,N39,INBOUND,10.1,52-72,"OIIE, OIII",Widebody,,,,,
KER,IRAN,A419,INBOUND,10.1,53-72,OIKK,Widebody,,,,,
TBS,IRAN,A419,INBOUND,10.1,53-72,OIKK,Widebody,,,,,
AVGUV,IRAN,A419,INBOUND,10.1,53-72,OIKK,Widebody,,,,,
LONIS,YEMEN,UM651,OUTBOUND,10.1,54-72,OYAA,Widebody,,,,,
KRA,YEMEN,UM651,INBOUND,10.1,55-72,OYAA,Widebody,,,,,
ALE,SYRIA/TURKEY,UM861,OUTBOUND,10.1,56-72,"LTAJ, LTAF, LTAC",Widebody,,,,,
MILBA,SYRIA/TURKEY,UM861,OUTBOUND,10.1,56-72,"LTAJ, LTAF, LTAC",Widebody,,,,,
TEVDA,SYRIA/TURKEY,UM861,OUTBOUND,10.1,56-72,"LTAJ, LTAF, LTAC",Widebody,,,,,
BELSU,SYRIA/TURKEY,UM861,OUTBOUND,10.1,56-72,"LTAJ, LTAF, LTAC",Widebody,,,,,
BUK,SYRIA/TURKEY,UM861,OUTBOUND,10.1,56-72,"LTAJ, LTAF, LTAC",Widebody,,,,,
PG,PAKISTAN,G325,OUTBOUND,10.1,57-72,OPKC,Widebody,,,,,
KAREM,PAKISTAN,G325,OUTBOUND,10.1,57-72,OPKC,Widebody,,,,,
KAREM,PAKISTAN,"G325, J215, J133",OUTBOUND,10.1,58-72,"OPPS, OPRN",Widebody,,,,,
REGET,PAKISTAN,"G325, J215, J133",OUTBOUND,10.1,58-72,"OPPS, OPRN",Widebody,,,,,
PS,PAKISTAN,G325,OUTBOUND,10.1,60-72,"OPPS, OPRN",Widebody,,,,,
GT,PAKISTAN,G325,OUTBOUND,10.1,60-72,"OPPS, OPRN",Widebody,,,,,
PURPA,PAKISTAN,G325,OUTBOUND,10.1,60-72,"OPPS, OPRN",Widebody,,,,,
PURPA,PAKISTAN,"G325, B215",OUTBOUND,10.1,62-72,"ZWSH, ZWTN",Widebody,,,,,
SCH,PAKISTAN,"G325, B215",OUTBOUND,10.1,62-72,"ZWSH, ZWTN",Widebody,,,,,
BND,PAKISTAN,"A453, J177",OUTBOUND,10.1,64-72,"OIZH, OMAA, OMDB",Widebody,,,,,
NABOX,PAKISTAN,"A453, J177",OUTBOUND,10.1,64-72,"OIZH, OMAA, OMDB",Widebody,,,,,
ZDN,PAKISTAN,"A453, J177",OUTBOUND,10.1,64-72,"OIZH, OMAA, OMDB",Widebody,,,,,
LAKRA,PAKISTAN,"A453, J177",OUTBOUND,10.1,64-72,"OIZH, OMAA, OMDB",Widebody,,,,,
KAREM,PAKISTAN,"J145, J165",INBOUND,10.1,65-72,"OPPS, OPRN",Widebody,,,,,
REGET,PAKISTAN,"J145, J165",INBOUND,10.1,65-72,"OPPS, OPRN",Widebody,,,,,
KAREM,PAKISTAN,"J133, G325, J215",INBOUND,10.1,66-72,OPKC,Widebody,,,,,
PG,PAKISTAN,"J133, G325, J215",INBOUND,10.1,66-72,OPKC,Widebody,,,,,
SCH,PAKISTAN/CHINA,B215,INBOUND,10.1,68-72,"ZWSH, ZWTN",Widebody,,,,,
PURPA,PAKISTAN/CHINA,B215,INBOUND,10.1,68-72,"ZWSH, ZWTN",Widebody,,,,,
GT,PAKISTAN/CHINA,B215,INBOUND,10.1,68-72,"ZWSH, ZWTN",Widebody,,,,,
PURPA,PAKISTAN,G325,INBOUND,10.1,70-72,"OPPS, OPRN",Widebody,,,,,
GT,PAKISTAN,G325,INBOUND,10.1,70-72,"OPPS, OPRN",Widebody,,,,,
PS,PAKISTAN,G325,INBOUND,10.1,70-72,"OPPS, OPRN",Widebody,,,,,
NARAN,NEPAL/INDIA,L626,INBOUND,10.1,72-72,"VILK, VIPD",Widebody,,,,,
PALPA,NEPAL/INDIA,L626,INBOUND,10.1,72-72,"VILK, VIPD",Widebody,,,,,
SUKET,NEPAL/INDIA,L626,INBOUND,10.1,72-72,"VILK, VIPD",Widebody,,,,,
HW,NEPAL/INDIA,L626,INBOUND,10.1,72-72,"VILK, VIPD",Widebody,,,,,
BAYIR,TURKEY,"UG81, UL124",OUTBOUND,10.2,5-62,"LTCC, LTCS",Widebody,10.133-72.png,,,,
KESIR,TURKEY,"UL852, UW71",OUTBOUND,10.2,6-62,"LTCE, LTCG",Widebody,10.25-62.png,,,,
ULGAN,TURKEY,UL852,OUTBOUND,10.2,6-62,"LTCE, LTCG",Widebody,10.26-62.png,,,,
BAVTI,TURKEY,"UW71, UL851",OUTBOUND,10.2,6-62,"LTCE ,LTCG",Widebody,10.25-62.png,,,,
DORUK,TURKEY,"UW71, UL851",OUTBOUND,10.2,6-62,"LTCE, LTCG",Widebody,10.29-62.png,,,,
VAN,TURKEY,"UG81, UL124",OUTBOUND,10.2,5-62,"LTCC, LTCS",Widebody,,,,,
VAN,TURKEY,"UL851, UA4, UL615",OUTBOUND,10.2,6-62,"LTCE, LTCG",Widebody,,,,,
ERZ,TURKEY,"UW71, UL851",OUTBOUND,10.2,6-62,"LTCE, LTCG",Widebody,,,,,
TBN,TURKEY,"UW71, UL851",OUTBOUND,10.2,6-62,"LTCE ,LTCG",Widebody,,,,,
EZS,TURKEY,"UG8, UL614",OUTBOUND,10.2,7-62,LTAC,Widebody,,,,,
GEM,TURKEY,"UG8, UL614",OUTBOUND,10.2,7-62,LTAC,Widebody,,,,,
BUK,TURKEY,"UG8, UL614",OUTBOUND,10.2,7-62,LTAC,Widebody,,,,,
EZS,TURKEY,"W710, UW710",OUTBOUND,10.2,8-62,"LTAC, LTFH, LTCC",Widebody,,,,,
SIV,TURKEY,"W710, UW710",OUTBOUND,10.2,8-62,"LTAC, LTFH, LTCC",Widebody,,,,,
BUK,TURKEY,"W710, UW710",OUTBOUND,10.2,8-62,"LTAC, LTFH, LTCC",Widebody,,,,,
VAN,TURKEY,UL852,OUTBOUND,10.2,9-62,"LTCE, LTCG",Widebody,,,,,
KESIR,TURKEY,UL852,OUTBOUND,10.2,9-62,"LTCE, LTCG",Widebody,,,,,
